EMPRESA,CNPJ
SISTEMA DE EMERGENCIA MOVEL DE BRASILIA LTDA,37142932000189
CAMOA SERVICOS TELECOM LTDA,28097989000112
LAVANDERIA PADRAO LTDA,02452824000128
CLARO S.A.,40432544000147
OI S.A. - EM RECUPERACAO JUDICIAL,76535764000143
NEOENERGIA DISTRIBUICAO BRASILIA S.A.,07522669000192
NP CAPACITACAO E SOLUCOES TECNOLOGICAS LTDA,07797967000195
BRUNA LIMA BEZERRA 10647926423,34054978000158
ADTEL TECNOLOGIA EIRELI,06926324000131
V E TECH ENGENHARIA LTDA,26991364000174
A FORCA COMERCIAL E SERVICOS EIRELI,03325530000106
EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,34028316000707
DOZZE SERVICOS E NEGOCIOS LTDA,56258979000157
REIMAQ ASSISTENCIA TECNICA DE DUPLICADORES EIRELI,00616789000100
BANCO DO BRASIL SA,00000000000191
RVA BRASILIA CONSTRUCOES - LTDA,26392234000115
M2S CONSTRUCOES E REFORMAS LTDA,54104361000107
CTX TECNOLOGIA E EQUIPAMENTOS EIRELI,72645872000118
MODULO CONSULTORIA E GERENCIA PREDIAL LTDA,05926726000173
TELEFONICA BRASIL S.A.,02558157000162
BANCO SANTANDER (BRASIL) S.A.,90400888000142
BRS SP SUPRIMENTOS CORPORATIVOS S/A,03746938001387
ECOS TURISMO LTDA,06157430000106
TAFA ENGENHARIA LTDA,12859652000165
VALTERSON ALVES QUEBLAS 94090890187,16369931000100
COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL,00082024000137
CONCEPT MOBILITY SERVICOS DE MOBILIDADE LTDA,14582157000187
RNL TRADE AND FACILITIES LTDA,15655026000145
TIDY WASH LAVANDERIA LTDA,52772413000198
NORTFORT COMERCIO E SERVICOS EIRELI,02479932000194
CTX TECNOLOGIA E EQUIPAMENTOS EIRELI,72645872000118
REAL JG FACILITIES LTDA,08247960000162
EMPRESA BRASIL DE COMUNICACAO S.A. - EBC,09168704000142
FERREIRA MUDANCAS E TRANSPORTES LTDA,34995778000108
MUNDIAL RESIDENCE TRANSPORTES E LOGISTICA LTDA,00502302000168
ALUCOM LTDA,01628251000188
CINCO ESTRELAS TRANSPORTES E LOGISTICA LTDA,03557312000199
"FLEET CARDS GESTAO DE FROTAS LTDA
",01312680000141
SERVICO DE LIMPEZA URBANA,01567525000176
CRUZEIRO SERVICOS TECNICOS LTDA,22575793000100
J R COUTINHO SERVICOS DE DEDETIZACAO LTDA,45594002000194
MATRIX COMERCIALIZADORA DE ENERGIA ELETRICA S/A,17858631000149
ALGAR TELECOM S/A,71208516000174
